ObjID		H_r	GS	u-r	g-r	i-r	z-r	y-r
2010_TU149	20.7	0.15	2.13	0.65	-0.19	 0.14	-0.14
2010_TC209	18.45	0.15	1.9	0.58	-0.21	-0.3	-0.39
2011_OB60	6.9	0.15	1.72	0.48	-0.11	-0.12	-0.12
2011_WJ157	4.92	0.15	2.55	0.92	-0.38	-0.59	-0.70
2011_YA42	16.36	0.15	2.13	0.65	-0.19	 0.14	-0.14
2012_AW12	19.79	0.15	1.9	0.58	-0.21	-0.3	-0.39
2012_BB14	24.99	0.15	1.72	0.48	-0.11	-0.12	-0.12
2012_HW1	19.99	0.15	2.13	0.65	-0.19	 0.14	-0.14
2013_CC263	18.46	0.15	1.72	0.48	-0.11	-0.12	-0.12
2013_GD138	8.14	0.15	2.55	0.92	-0.38	-0.59	-0.70
